지방청,해경서,발생일자,발생요일,사고유형_세분류,장소유형,발생지역,사고원인1차,위험구역지정
서해 지방청,목포,2017-01-01,월요일,추락익수,항포구,전라남도,부주의,없음
제주 지방청,서귀포,2017-01-01,월요일,고립,갯바위,제주특별자치도,부주의,없음
제주 지방청,서귀포,2017-01-01,월요일,고립,갯바위,제주특별자치도,부주의,없음
서해 지방청,목포,2017-01-01,월요일,고립,무인도서,전라남도,안전미준수,없음
제주 지방청,서귀포,2017-01-03,수요일,고립,갯바위,제주특별자치도,부주의,없음
서해 지방청,완도,2017-01-04,목요일,추락익수,항포구,전라남도,부주의,없음
제주 지방청,서귀포,2017-01-04,목요일,기타,해안가,제주특별자치도,안전미준수,없음
제주 지방청,서귀포,2017-01-05,금요일,고립,갯바위,제주특별자치도,부주의,없음
제주 지방청,서귀포,2017-01-06,토요일,고립,갯바위,제주특별자치도,부주의,없음
중부 지방청,인천,2017-01-06,토요일,추락익수,해양,인천광역시,음주,없음
서해 지방청,목포,2017-01-06,토요일,추락익수,항포구,전라남도,부주의,없음
남해 지방청,울산,2017-01-07,일요일,추락익수,갯바위,울산광역시,부주의,없음
동해 지방청,포항,2017-01-07,일요일,추락익수,항포구,경상북도,음주,없음
제주 지방청,제주,2017-01-07,일요일,기타익수,해안가,제주특별자치도,부주의,없음
남해 지방청,부산,2017-01-08,월요일,기타익수,해양,부산광역시,음주,없음
동해 지방청,속초,2017-01-08,월요일,추락익수,항포구,강원도,부주의,없음
서해 지방청,부안,2017-01-08,월요일,추락,테트라포드,전라북도,음주,없음
서해 지방청,목포,2017-01-15,월요일,추락익수,항포구,전라남도,부주의,없음
중부 지방청,인천,2017-01-15,월요일,고립,갯바위,인천광역시,조석 미인지,없음
서해 지방청,군산,2017-01-16,화요일,고립,갯바위,전라북도,조석 미인지,없음
동해 지방청,속초,2017-01-16,화요일,수상레저익수,해안가,강원도,음주,없음
남해 지방청,통영,2017-01-17,수요일,추락익수,갯바위,경상남도,부주의,없음
제주 지방청,서귀포,2017-01-17,수요일,기타익수,항포구,제주특별자치도,부주의,없음
남해 지방청,울산,2017-01-18,목요일,추락,갯바위,울산광역시,부주의,없음
제주 지방청,서귀포,2017-01-19,금요일,수중산업익수,해양,제주특별자치도,부주의,없음
동해 지방청,속초,2017-01-21,일요일,추락,방파제,강원도,부주의,없음
남해 지방청,부산,2017-01-21,일요일,추락익수,항포구,부산광역시,음주,없음
중부 지방청,인천,2017-01-22,월요일,기타익수,해양,인천광역시,음주,없음
남해 지방청,통영,2017-01-23,화요일,추락익수,항포구,경상남도,부주의,없음
서해 지방청,목포,2017-01-25,목요일,추락익수,해안가,전라남도,음주,없음
제주 지방청,제주,2017-01-27,토요일,고립,방파제,제주특별자치도,안전미준수,없음
동해 지방청,속초,2017-01-28,일요일,수중레저익수,해양,강원도,부주의,없음
제주 지방청,서귀포,2017-01-30,화요일,추락익수,항포구,제주특별자치도,부주의,없음
중부 지방청,인천,2017-01-30,화요일,고립,무인도서,인천광역시,조석 미인지,없음
남해 지방청,부산,2017-01-30,화요일,추락익수,항포구,부산광역시,부주의,없음
동해 지방청,울진,2017-01-30,화요일,고립,갯바위,경상북도,기상불량,없음
남해 지방청,부산,2017-01-31,수요일,추락익수,항포구,부산광역시,부주의,없음
남해 지방청,울산,2017-02-02,금요일,추락익수,항포구,울산광역시,부주의,없음
남해 지방청,부산,2017-02-03,토요일,추락익수,해양,부산광역시,음주,없음
남해 지방청,울산,2017-02-04,일요일,추락익수,테트라포드,울산광역시,안전미준수,없음
서해 지방청,여수,2017-02-05,월요일,추락익수,해안가,전라남도,부주의,없음
남해 지방청,부산,2017-02-05,월요일,추락익수,항포구,부산광역시,부주의,없음
제주 지방청,서귀포,2017-02-05,월요일,수중산업익수,해양,제주특별자치도,기상불량,없음
동해 지방청,울진,2017-02-06,화요일,추락,테트라포드,경상북도,부주의,없음
서해 지방청,완도,2017-02-06,화요일,추락익수,항포구,전라남도,부주의,없음
동해 지방청,울진,2017-02-08,목요일,추락익수,방파제,경상북도,부주의,없음
중부 지방청,평택,2017-02-08,목요일,고립,무인도서,경기도,조석 미인지,없음
남해 지방청,울산,2017-02-12,월요일,고립,테트라포드,울산광역시,음주,없음
중부 지방청,평택,2017-02-13,화요일,고립,무인도서,인천광역시,조석 미인지,없음
남해 지방청,부산,2017-02-13,화요일,추락익수,항포구,부산광역시,부주의,없음
동해 지방청,동해,2017-02-15,목요일,추락,테트라포드,강원도,부주의,없음
서해 지방청,목포,2017-02-15,목요일,수중산업익수,방파제,전라남도,안전미준수,없음
제주 지방청,제주,2017-02-18,일요일,기타익수,항포구,제주특별자치도,부주의,없음
제주 지방청,제주,2017-02-19,월요일,기타익수,항포구,제주특별자치도,부주의,없음
제주 지방청,제주,2017-02-19,월요일,수중산업익수,해양,제주특별자치도,부주의,없음
동해 지방청,동해,2017-02-23,금요일,기타익수,해안가,강원도,운전 부주의,없음
동해 지방청,울진,2017-02-23,금요일,추락,방파제,경상북도,부주의,없음
서해 지방청,여수,2017-02-23,금요일,추락익수,항포구,전라남도,운전 부주의,없음
중부 지방청,인천,2017-02-24,토요일,고립,무인도서,인천광역시,조석 미인지,없음
서해 지방청,완도,2017-02-25,일요일,추락익수,항포구,전라남도,부주의,없음
동해 지방청,속초,2017-02-25,일요일,수중레저익수,해양,강원도,부주의,없음
서해 지방청,여수,2017-02-26,월요일,고립,무인도서,전라남도,운전 부주의,없음
제주 지방청,서귀포,2017-02-28,수요일,추락,갯바위,제주특별자치도,부주의,없음
중부 지방청,태안,2017-02-28,수요일,고립,갯바위,충청남도,조석 미인지,없음
중부 지방청,평택,2017-02-28,수요일,고립,갯바위,경기도,조석 미인지,없음
중부 지방청,평택,2017-02-28,수요일,고립,갯바위,경기도,조석 미인지,없음
중부 지방청,평택,2017-02-28,수요일,고립,해안가,충청남도,조석 미인지,없음
동해 지방청,울진,2017-03-01,목요일,추락,방파제,경상북도,부주의,없음
남해 지방청,부산,2017-03-01,목요일,추락익수,항포구,부산광역시,안전미준수,없음
남해 지방청,부산,2017-03-02,금요일,고립,갯바위,부산광역시,안전미준수,없음
남해 지방청,부산,2017-03-04,일요일,고립,갯바위,부산광역시,안전미준수,없음
제주 지방청,서귀포,2017-03-04,일요일,추락,해안가,제주특별자치도,부주의,없음
동해 지방청,속초,2017-03-05,월요일,추락,테트라포드,강원도,부주의,없음
서해 지방청,여수,2017-03-06,화요일,기타익수,항포구,전라남도,운전 부주의,없음
남해 지방청,부산,2017-03-07,수요일,추락익수,해양,부산광역시,음주,없음
서해 지방청,군산,2017-03-11,일요일,고립,갯바위,전라북도,조석 미인지,없음
중부 지방청,평택,2017-03-11,일요일,고립,무인도서,경기도,조석 미인지,없음
남해 지방청,통영,2017-03-11,일요일,추락익수,항포구,경상남도,부주의,없음
중부 지방청,보령,2017-03-12,월요일,고립익수,갯벌,충청남도,부주의,없음
동해 지방청,속초,2017-03-12,월요일,추락,테트라포드,강원도,부주의,없음
서해 지방청,여수,2017-03-13,화요일,기타익수,해안가,전라남도,운전 부주의,없음
제주 지방청,서귀포,2017-03-13,화요일,추락익수,항포구,제주특별자치도,부주의,없음
제주 지방청,제주,2017-03-13,화요일,추락,방파제,제주특별자치도,부주의,없음
남해 지방청,부산,2017-03-13,화요일,추락익수,해양,부산광역시,음주,없음
제주 지방청,제주,2017-03-16,금요일,추락,테트라포드,제주특별자치도,부주의,없음
동해 지방청,동해,2017-03-17,토요일,수중산업익수,해안가,강원도,부주의,없음
남해 지방청,통영,2017-03-18,일요일,추락익수,해안가,경상남도,음주,없음
중부 지방청,인천,2017-03-18,일요일,고립,갯벌,경기도,부주의,없음
제주 지방청,제주,2017-03-19,월요일,추락,테트라포드,제주특별자치도,부주의,없음
동해 지방청,포항,2017-03-19,월요일,고립,해양,경상북도,안전미준수,없음
남해 지방청,통영,2017-03-19,월요일,추락익수,해양,경상남도,부주의,없음
동해 지방청,포항,2017-03-19,월요일,고립,갯바위,경상북도,부주의,없음
남해 지방청,통영,2017-03-23,금요일,추락익수,항포구,경상남도,음주,없음
제주 지방청,서귀포,2017-03-23,금요일,추락익수,항포구,제주특별자치도,부주의,없음
동해 지방청,동해,2017-03-23,금요일,추락익수,갯바위,강원도,부주의,없음
남해 지방청,통영,2017-03-24,토요일,추락익수,항포구,경상남도,부주의,없음
남해 지방청,통영,2017-03-26,월요일,추락익수,기타,경상남도,부주의,없음
제주 지방청,서귀포,2017-03-26,월요일,고립,갯바위,제주특별자치도,조석 미인지,없음
중부 지방청,태안,2017-03-27,화요일,기타,갯벌,충청남도,부주의,없음
동해 지방청,속초,2017-03-28,수요일,추락,테트라포드,강원도,음주,없음
중부 지방청,태안,2017-03-31,토요일,고립,해안가,충청남도,부주의,없음
중부 지방청,인천,2017-03-31,토요일,고립,갯벌,인천광역시,음주,없음
동해 지방청,속초,2017-04-02,월요일,추락,테트라포드,강원도,부주의,없음
서해 지방청,부안,2017-04-02,월요일,고립,해안가,전라북도,부주의,없음
서해 지방청,부안,2017-04-02,월요일,기타익수,항포구,전라북도,음주,없음
중부 지방청,인천,2017-04-03,화요일,고립,무인도서,인천광역시,조석 미인지,없음
중부 지방청,인천,2017-04-05,목요일,고립,갯벌,인천광역시,음주,없음
남해 지방청,울산,2017-04-07,토요일,추락익수,항포구,울산광역시,인공장애물,없음
남해 지방청,통영,2017-04-09,월요일,고립,갯바위,경상남도,부주의,없음
중부 지방청,보령,2017-04-09,월요일,고립,갯벌,충청남도,부주의,없음
동해 지방청,동해,2017-04-09,월요일,추락,테트라포드,강원도,부주의,없음
중부 지방청,인천,2017-04-10,화요일,추락,갯벌,인천광역시,운전 부주의,없음
남해 지방청,통영,2017-04-12,목요일,추락익수,방파제,경상남도,부주의,없음
제주 지방청,서귀포,2017-04-12,목요일,수중산업익수,갯바위,제주특별자치도,질병,없음
남해 지방청,부산,2017-04-12,목요일,추락익수,해양,부산광역시,음주,없음
서해 지방청,목포,2017-04-14,토요일,추락,항포구,전라남도,부주의,없음
서해 지방청,부안,2017-04-15,일요일,고립,갯바위,전라북도,조석 미인지,없음
중부 지방청,태안,2017-04-15,일요일,고립,갯바위,충청남도,조석 미인지,없음
동해 지방청,속초,2017-04-15,일요일,추락,테트라포드,강원도,부주의,없음
서해 지방청,목포,2017-04-16,월요일,추락익수,항포구,전라남도,부주의,없음
중부 지방청,인천,2017-04-16,월요일,고립,갯벌,인천광역시,안전미준수,없음
서해 지방청,목포,2017-04-16,월요일,추락익수,항포구,전라남도,음주,없음
동해 지방청,포항,2017-04-19,목요일,수중레저익수,해양,경상북도,부주의,없음
중부 지방청,태안,2017-04-20,금요일,추락,갯바위,충청남도,부주의,없음
남해 지방청,통영,2017-04-21,토요일,추락익수,항포구,경상남도,부주의,없음
동해 지방청,포항,2017-04-22,일요일,추락,방파제,경상북도,부주의,없음
동해 지방청,포항,2017-04-23,월요일,수상레저익수,해안가,경상북도,안전미준수,없음
남해 지방청,통영,2017-04-23,월요일,추락익수,항포구,경상남도,부주의,없음
서해 지방청,부안,2017-04-23,월요일,추락,항포구,전라북도,운전 부주의,없음
남해 지방청,통영,2017-04-24,화요일,추락익수,항포구,경상남도,부주의,없음
남해 지방청,통영,2017-04-24,화요일,추락익수,항포구,경상남도,음주,없음
서해 지방청,여수,2017-04-24,화요일,기타익수,항포구,전라남도,운전 부주의,없음
제주 지방청,제주,2017-04-25,수요일,고립,갯바위,제주특별자치도,조석 미인지,없음
서해 지방청,군산,2017-04-27,금요일,추락,해안가,전라북도,부주의,없음
서해 지방청,완도,2017-04-28,토요일,추락익수,항포구,전라남도,부주의,없음
중부 지방청,인천,2017-04-29,일요일,고립,갯바위,인천광역시,부주의,없음
중부 지방청,인천,2017-04-29,일요일,고립,갯바위,인천광역시,부주의,없음
서해 지방청,부안,2017-04-29,일요일,고립,갯바위,전라북도,조석 미인지,없음
동해 지방청,동해,2017-04-29,일요일,추락,방파제,경상북도,안전미준수,없음
중부 지방청,인천,2017-04-30,월요일,고립,갯바위,인천광역시,부주의,없음
중부 지방청,태안,2017-04-30,월요일,기타익수,해안가,충청남도,음주,없음
중부 지방청,인천,2017-04-30,월요일,기타,갯벌,인천광역시,안전미준수,없음
제주 지방청,제주,2017-05-01,화요일,추락,테트라포드,제주특별자치도,부주의,없음
서해 지방청,여수,2017-05-01,화요일,기타익수,항포구,전라남도,운전 부주의,없음
서해 지방청,여수,2017-05-01,화요일,고립,무인도서,전라남도,조석 미인지,없음
